LINEA,MARCA,2024,2025,Var 24/25
G03,Shineray,25,60,1.4
X70 SPORT 2G,Jetour,-,59,-
Dfa1040t (double cabin),Dongfeng,36,59,0.6388888888888888
Zr-v 5dr 2wd tourng cvt,Honda,54,58,0.07407407407407418
R7 suv,Faw,142,58,-0.5915492957746479
Joy,Chevrolet,2995,57,-0.9809682804674458
Atego 1726 aub l,Mercedes benz,151,57,-0.6225165562913908
Mg zs 1.5l at com plus,Mg,102,57,-0.4411764705882353
Escape platinum hibrida,Ford,947,56,-0.9408658922914467
Bj3319dnpkc-6f,Foton,38,56,0.4736842105263157
EXPEDITION,Ford,-,56,-
Dfh4180a6,Dong feng,13,55,3.230769230769231
H6 hev,Great wall,13,55,3.230769230769231
Lo916,Mercedes benz,121,54,-0.5537190082644627
Tundra,Toyota,58,54,-0.06896551724137934
Zr-v 5dr 2wd lx cvt,Honda,33,53,0.606060606060606
X3 m50 xdrive,Bmw,25,53,1.12
A 250 4matic,Mercedes benz,34,52,0.5294117647058822
An64tx,Mack,25,52,1.08
Q3 sportback,Audi,74,52,-0.29729729729729726
City hatch lx,Honda,68,52,-0.23529411764705888
Creta,Hyundai,437,51,-0.8832951945080092
City hatch exl,Honda,53,51,-0.037735849056603765
MAVERICK LARIAT FHEV,Ford,-,50,-
AION V,Gac,-,50,-
Wrangler unlimited sport,Jeep,83,50,-0.3975903614457831
TIGUAN NF LIFE,Volkswagen,-,50,-
Xc90,Volvo,93,49,-0.4731182795698925
F-150 fhev at platinum crew cab,Ford,56,47,-0.1607142857142857
K410 b4x2,Scania,25,47,0.8799999999999999
420i gran coupe,Bmw,53,47,-0.1132075471698113
MAVERICK XLT FHEV,Ford,-,47,-
Df-116sc,Dongfeng,9,47,4.222222222222222
Bj3259dlpkb-aa,Foton,42,46,0.09523809523809534
Tiggo 7 phev,Chery,28,46,0.6428571428571428
Combo,Opel,14,46,2.2857142857142856
HFC1036KN-2 EVI,Jac,-,45,-
Aion y,Gac,2,45,21.5
Countryman e,Mini,36,45,0.25
Aceman se,Mini,3,45,14
Ora 03 gt,Great wall,8,45,4.625
O500rs,Mercedes benz,10,45,3.5
Lumin,Changan,52,45,-0.13461538461538458
B460r,Volvo,62,45,-0.27419354838709675
Tiggo 8 phev,Chery,32,45,0.40625
L200 gls at,Mitsubishi,211,45,-0.7867298578199052
RD6 AIR  (J1),RIDDARA,-,44,-
Byd song pro dm-i,Byd,55,44,-0.19999999999999996
T680,Kenworth,161,44,-0.7267080745341614
E10x-hfc7000wev10,Jac,21,43,1.0476190476190474
M240i xdrive coupe,Bmw,-,43,-
E40X - HFC7002MEV7,Jac,-,43,-
320i,Bmw,46,42,-0.08695652173913049
Lr7d9-maxen,Daewoo,1,42,41
V3,KYC,-,42,-
E-van 1.0t,Dongfeng,81,42,-0.4814814814814815
March,Nissan,841,41,-0.9512485136741974
Cooper se,Mini,76,41,-0.4605263157894737
M2 106,Freightliner,8,41,4.125
Jx1079tk26,Jmc,11,41,2.727272727272727
Bj1037v2mav-8s,Foton,1,41,40
EC40,Volvo,-,40,-
Nivus pa comfortline,Volkswagen,-,40,-
BJ5259GJB-6A,Foton,-,40,-
X70 LIMITED 2G,Jetour,-,40,-
Eqb 350 4matic,Mercedes benz,32,40,0.25
ZEEKR 001,Zeekr,-,40,-
Bj4259smfcb-4p,Foton,5,40,7
Tiguan elegance,Volkswagen,115,40,-0.6521739130434783
Jx1059tgc26,Jmc,6,40,5.666666666666667
Bj1037v4ka6-1a,Foton,6,39,5.5
JETTA PA GLI,Volkswagen,-,39,-
BERLINGO,Citroen,-,39,-
Sprinter 315 cdi,Mercedes benz,48,39,-0.1875
Zz4187v361gf1,Sinotruk,9,39,3.333333333333333
Zz4256v324hf1b,Sinotruk,28,39,0.3928571428571428
Atego 1730 s,Mercedes benz,27,39,0.4444444444444444
T2 IDM,Jetour,-,38,-
Yuan up,Byd,4,38,8.5
Ora 03,Great wall,10,38,2.8
Urvan,Nissan,62,38,-0.3870967741935484
Hfc1048kn evi,Jac,32,38,0.1875
Cs35,Changan,15,37,1.4666666666666668
Wingle 5,Great wall,3,36,11
Rocks-e,Opel,47,36,-0.23404255319148937
Sequoia capstone 4wd hibrida,Toyota,42,36,-0.1428571428571429
118,Bmw,1,35,34
Gr yaris,Toyota,10,34,2.4
ATEGO 1933,Mercedes benz,-,34,-
YORI KQ52,Karry,-,34,-
MG ZS HYBRID+,Mg,-,34,-
City lx cvt,Honda,35,34,-0.02857142857142858
Bronco wildtrak,Ford,250,34,-0.864
Frs-zz1108g4515f1,Sinotruk,7,34,3.8571428571428568
X70 plus 1.6,Jetour,8,34,3.25
C 200,Mercedes benz,89,33,-0.6292134831460674
Emkoo hev,Gac,3,33,10
Lck6116h,Zhongtong,29,33,0.13793103448275867
Eu5,Baic,-,33,-
Rich 6,Dongfeng,40,33,-0.17500000000000004
D1,Byd,50,33,-0.33999999999999997
Tivoli xlv,Ssangyong,106,33,-0.6886792452830188
Mg4 at del 64 kwh,Mg,66,32,-0.5151515151515151
Sprinter 415 cdi,Mercedes benz,86,32,-0.627906976744186
Zz1167k561df1,Sinotruk,23,32,0.3913043478260869
Jx1033tsed6,Jmc,13,32,1.4615384615384617
Mg rx5 1.5t dct lux,Mg,4,31,6.75
K320,Scania,1,31,30
A4,Audi,198,31,-0.8434343434343434
"Montero sport 3,0 4wd",Mitsubishi,80,31,-0.6125
Captur,Renault,44,30,-0.31818181818181823
Hfc5049xxev6h,Jac,15,30,1
Bj1186vlphk-2a,Foton,14,30,1.1428571428571428
Vito tourer 114 cdi,Mercedes benz,47,30,-0.36170212765957444
Sequoia capstone,Toyota,49,30,-0.3877551020408163
1500,Ram,37,30,-0.18918918918918914
Cooper s,Mini,42,29,-0.30952380952380953
Evoltis 2.4 touring,Subaru,58,29,-0.5
TASMAN,Kia,-,29,-
C4 cactus,Citroen,595,29,-0.9512605042016806
CR -V FHEV FHEXLA CVT KA8,Honda,-,28,-
Amg gle 53 4matic coupe,Mercedes benz,24,28,0.16666666666666674
Eq1100s8cd3,Dongfeng,16,28,0.75
218 GRAN COUPE,Bmw,-,28,-
Cooper c,Mini,33,27,-0.18181818181818177
Cs55,Changan,22,27,0.2272727272727273
Aion es,Gac,2,27,12.5
MUSTANG,Ford,-,27,-
114sd,Freightliner,21,27,0.2857142857142858
Sequoia,Toyota,88,27,-0.6931818181818181
Rexton sports,Ssangyong,66,27,-0.5909090909090908
Cs15,Changan,68,26,-0.6176470588235294
Aceman e,Mini,1,26,25
DEEPAL S05,Changan,-,26,-
Explorer active,Ford,-,26,-
Feb91el4snqg,Mitsubishi fuso,12,26,1.1666666666666665
Q7,Audi,33,26,-0.21212121212121215
E-truck 1.4t lite,Stark,13,26,1
Star van,Changan,73,26,-0.6438356164383562
AION UT,Gac,-,26,-
Outback 2.5i touring,Subaru,26,26,0
Torres,Ssangyong,125,26,-0.792
BJ1031V4AV4-01,Foton,-,25,-
K340,Scania,-,25,-
Bj1091vfjda-01,Forland,1,25,24
Polo pa gts,Volkswagen,81,25,-0.691358024691358
H7 HEV,Great wall,-,25,-
Constellation 19.360,Volkswagen,205,25,-0.8780487804878049
X3 20,Bmw,-,25,-
E40x,Jac,67,25,-0.6268656716417911
TACOMA HYBRID 4WD,Toyota,-,25,-
Rampage,Ram,6,25,3.166666666666667
Ateca style sport,Seat,50,25,-0.5
"Montero sport 3,0",Mitsubishi,18,24,0.33333333333333326
Xpander,Mitsubishi,18,24,0.33333333333333326
Amg cla 35 4matic,Mercedes benz,17,24,0.41176470588235303
BJ1061VDJBA-01,Forland,-,24,-
Eclipse cross,Mitsubishi,41,24,-0.41463414634146345
Amg cle 53 4matic+,Mercedes benz,1,24,23
IX XDRIVE45,Bmw,-,24,-
Eqe 350+ suv,Mercedes benz,32,24,-0.25
Escape st line hibrida,Ford,869,24,-0.9723820483314154
T3,Byd,26,24,-0.07692307692307687
Zz4187n361gf1,Sinotruk,7,24,2.4285714285714284
5008,Peugeot,76,24,-0.6842105263157895
Mg zsev edu at del 51 2wd,Mg,77,23,-0.7012987012987013
John cooper works,Mini,4,23,4.75
Mg one 1.5t cvt std,Mg,28,23,-0.1785714285714286
Bj1051vcjb6-01,Forland,1,23,22
Ev2 / jx7004esbbev,Jmc,17,23,0.3529411764705883
G420,Scania,2,23,10.5
Cayenne e-hybrid coupe,Porsche,22,23,0.045454545454545414
Wrangler unlimited rubicon,Jeep,37,23,-0.3783783783783784
Outback 2.5i field,Subaru,8,23,1.875
X7 xdrive40i,Bmw,30,23,-0.23333333333333328
Q8,Audi,37,22,-0.4054054054054054
Jolion pro hev,Great wall,6,22,2.6666666666666665
Megane e tech,Renault,71,22,-0.6901408450704225
Arona fr,Seat,34,22,-0.3529411764705882
Hx620 sba 6x4,International,27,22,-0.18518518518518523
Dfh4250c7,Dong feng,21,22,0.04761904761904767
Asx,Mitsubishi,31,21,-0.32258064516129037
Mg4 at std 51 kwh,Mg,58,21,-0.6379310344827587
SPRINTER 517 CDI,Mercedes benz,-,21,-
Countryman se all4,Mini,12,21,0.75
SEQUOIA 4WD HIBRIDO,Toyota,-,21,-
Song plus dmi,Byd,338,21,-0.9378698224852071
Xc40,Volvo,186,21,-0.8870967741935484
POER COMERCIAL,Great wall,-,21,-
CONSTELLATION 19.380,Volkswagen,-,21,-
HFC1036KN(B),Jac,-,21,-
