LINEA,MARCA,2024,2025,Var 24/25
MRX125 S TK,VICTORY,598,895,0.49665551839464883
300RALLY,AKT-VOGE,34,892,25.235294117647058
ADVANCE X1,VICTORY,1495,871,-0.4173913043478261
VENOM 18,VICTORY,1368,861,-0.3706140350877193
GSX-S150 ABS,SUZUKI,1046,835,-0.2017208413001912
HNTR 350,ROYAL ENFIELD,678,819,0.2079646017699115
390 DUKE GEN3,KTM,843,814,-0.03440094899169632
PULSAR NS 160 FI ABS,BAJAJ,1851,812,-0.5613182063749325
MRX200 FOX TK,VICTORY,-,806,-
MRX125 FOX TK,VICTORY,-,786,-
DOMINAR D250,BAJAJ,1194,776,-0.3500837520938024
PULSAR NS 160 FI DC UG2,BAJAJ,-,764,-
PULSAR 250N,BAJAJ,1214,727,-0.4011532125205931
XR 150L E3,HONDA,14237,720,-0.9494275479384702
CB300F,HONDA,1047,694,-0.3371537726838586
DB300ZH,VAISAND,622,681,0.094855305466238
SWITCH 125 TK,VICTORY,-,670,-
COMBAT 100,VICTORY,171,655,2.8304093567251463
VENOM 14,VICTORY,2166,653,-0.698522622345337
300DS,AKT-VOGE,-,647,-
YB125ZR,YAMAHA,845,645,-0.23668639053254437
XR300L TORNADO,HONDA,-,645,-
MRX ARIZONA XPLORE,VICTORY,637,639,0.0031397174254317317
DL650XT,SUZUKI,497,599,0.2052313883299799
IGNITOR 5S,HERO,2473,594,-0.7598059037606146
LITHIUM 4.0 125,VENTO,110,585,4.318181818181818
HUNK 160 STEALTH RS,HERO,1384,583,-0.578757225433526
ECO CW E LTD,HERO,-,557,-
FALKON 125,VENTO,106,556,4.245283018867925
AK125DYN R+,AKT,3626,545,-0.8496966354109211
AK200DS EIII,AKT,6469,536,-0.9171432988097078
ECO DELUXE CAM,HERO,2909,512,-0.8239944998281197
XPULSE 200 FI OC,HERO,1963,500,-0.7452878247580235
PULSAR RS 200 ABS,BAJAJ,781,487,-0.37644046094750316
MRX125 S FOX TK,VICTORY,-,478,-
MRX125 PRO TK,VICTORY,869,474,-0.4545454545454546
ONE MP,VICTORY,2008,474,-0.7639442231075697
MTRD300,KAMEYO,6,469,77.16666666666667
GSX125,SUZUKI,1687,468,-0.7225844694724363
SWITCH 125,VICTORY,-,462,-
CB 125F MAX II,HONDA,8112,457,-0.943663708086785
NAVI ADVENTURE 2.0,HONDA,385,452,0.17402597402597397
IGNITOR XTECH,HERO,-,451,-
AE12WD,SYM,436,448,0.02752293577981657
MRX125 S,VICTORY,331,441,0.3323262839879153
ADV750S,HONDA,49,437,7.918367346938776
DB200ZH,VAISAND,364,424,0.16483516483516492
MRX150 PRO TK,VICTORY,808,422,-0.4777227722772277
XR 190L,HONDA,12998,416,-0.9679950761655639
DB250ZH,VAISAND,183,411,1.2459016393442623
AGILITY FUSION TK,KYMCO,-,384,-
PULSAR 180 FI NEON,BAJAJ,1734,381,-0.7802768166089965
250 DUKE GEN3,KTM,600,365,-0.3916666666666667
ATUL RIK,ATUL,322,360,0.11801242236024834
CF400-8F,CFMOTO,344,357,0.03779069767441867
ONE MP TK FACELIFT,VICTORY,-,356,-
G 310 GS,BMW,439,354,-0.193621867881549
RE MAXIMA C PETROL,BAJAJ,486,354,-0.2716049382716049
MTN890 (MT09),YAMAHA,402,353,-0.12189054726368154
DASH FI EV,HERO,916,348,-0.6200873362445415
SCRAMBLER 400 X,TRIUMPH,225,334,0.48444444444444446
VENOM 250S,VICTORY,375,331,-0.11733333333333329
ADVANCE R 125 TK,VICTORY,224,329,0.46875
BEST 125 FI,SUZUKI,293,325,0.10921501706484649
XOOM 110,HERO,2,325,161.5
MTRD200,KAMEYO,104,322,2.0961538461538463
VESPA VXL 150,PIAGGIO,396,316,-0.202020202020202
ECO 100 IBS,HERO,-,316,-
MTN320-A (MT03),YAMAHA,158,299,0.8924050632911393
CROSSMAX PRO 200,VENTO,91,286,2.142857142857143
CB125F DLX II,HONDA,3479,273,-0.9215291750503019
THRILLER XTREME,HERO,1834,265,-0.8555070883315158
ONE MP TK,VICTORY,792,264,-0.6666666666666667
SPIRIT 125,VENTO,63,256,3.0634920634920633
CF250-6F,CFMOTO,48,251,4.229166666666667
AY300ZH,AYCO,420,235,-0.44047619047619047
APACHE RTR 200 4V RACING,TVS,334,229,-0.3143712574850299
CZD300D-A (XMAX300),YAMAHA,-,225,-
APACHE RTR 160 2V,TVS,322,221,-0.3136645962732919
AY200ZH,AYCO,307,221,-0.28013029315960913
CZD300-A (X-MAX300),YAMAHA,284,209,-0.2640845070422535
PRESLEY 200,VENTO,118,208,0.7627118644067796
ADDRESS,SUZUKI,830,208,-0.7493975903614458
APACHE RTR 160 4V XC RACING,TVS,561,192,-0.6577540106951871
R 1300 GS ADVENTURE,BMW,63,191,2.0317460317460316
CF400-7F,CFMOTO,219,173,-0.2100456621004566
BOMBER 125 TK,VICTORY,10,172,16.2
SVARTPILEN 401,HUSQVARNA,186,157,-0.15591397849462363
R 1300 GS,BMW,297,157,-0.47138047138047134
SUPER METEOR 650,ROYAL ENFIELD,308,151,-0.5097402597402597
SWITCH 150 TK,VICTORY,1061,151,-0.8576814326107446
CF250-BF,CFMOTO,40,149,2.725
BOMBER 125 SPORT,VICTORY,391,148,-0.6214833759590792
MTN890D (MT09SP),YAMAHA,57,148,1.5964912280701755
MTRD250,KAMEYO,14,147,9.5
SCREAMER SPORTIVO 250,VENTO,32,146,3.5625
SPEED 400,TRIUMPH,106,139,0.3113207547169812
F 800 GS,BMW,176,138,-0.21590909090909094
NAVI RALLY 2.0,HONDA,63,137,1.1746031746031744
ALPINA 300,VENTO,62,134,1.161290322580645
VELOCE 100,FRATELLI,-,126,-
ZONTES 155 U,VICTORY,315,123,-0.6095238095238096
NT250,NATSUKI,81,123,0.5185185185185186
AVANTI X,STARKER,180,123,-0.31666666666666665
390 ADVENTURE,KTM,205,123,-0.4
FS110,FRATELLI,177,122,-0.3107344632768362
